"Date","Run","SDR_position","Lpc","Leq","Lz","alpha"
"09.05.19","3","C4",-0.589811509591325,-0.619122399111445,-0.619122399111445,0.4
"09.05.19","3","D4",-0.518847959690043,-0.49189864253393,-0.49189864253393,0.4
"09.05.19","3","A5",-0.478484210526314,-0.478484210526314,-0.436137624861252,0.4
"09.05.19","3","B5",-0.407930633063305,-0.387082417582417,-0.575890036711341,0.4
"09.05.19","3","C5",-0.384279525201649,-0.388230769230772,-0.388230769230772,0.4
"09.05.19","3","D5",-1.032956860811,-1.02386582809225,-1.02386582809225,0.4
"09.05.19","3","A6",-0.246108374384234,-0.240954684728275,-0.240954684728275,0.4
"09.05.19","3","B6",-1.65000259268861,-1.66687901572112,-1.66687901572112,0.4
"09.05.19","3","C6",-0.564902118024438,-0.525871496924133,-0.628331890331893,0.4
"09.05.19","3","D6",-0.35031593406593,-0.352108294930881,-0.37730688598613,0.4
"09.06.19","1","A1",-0.628211401501724,-1.14333753865183,-1.14333753865183,0.4
"09.06.19","1","B1",-0.831845764854613,-0.842683284799072,-0.842683284799072,0.4
"09.06.19","1","C1",-0.933628200371058,-1.07808806117466,-1.13007622757349,0.4
"09.06.19","1","D1",-1.36584487492758,-1.10350698430305,-1.10350698430305,0.4
"09.06.19","1","A2",-0.835641994633276,-0.80596854249431,-0.80596854249431,0.4
"09.06.19","1","B2",-0.395919753310362,-0.350921551666777,-0.350921551666777,0.4
"09.06.19","1","C2",-0.745256826438533,-0.769214064214492,-0.770827821675934,0.4
"09.06.19","1","D2",-1.00083640887414,-1.01366766762938,-1.0075690157251,0.4
"09.06.19","1","A3",-0.929499934879277,-0.918561022211605,-0.929739003136981,0.4
"09.06.19","1","B3",-0.925787933786709,-0.925787933786709,-0.747910014513785,0.4
"09.06.19","1","C3",-0.673392338239097,-0.680140137011796,-0.722858940114745,0.4
"09.06.19","1","D3",-0.861635552330858,-1.03744595120148,-1.03744595120148,0.4
"09.06.19","1","A4",-0.835050888964676,-0.880178777652793,-0.880178777652793,0.4
"09.06.19","1","B4",-0.906455064514677,-0.929590625378545,-0.929590625378545,0.4
"09.06.19","1","C4",-0.922362755888178,-0.793528255528255,-0.793528255528255,0.4
"09.06.19","1","D4",-1.77675898858423,-1.76770414347557,-1.76770414347557,0.4
"09.06.19","1","A5",-0.476938600257619,-0.496802180615755,-0.496802180615755,0.4
"09.06.19","1","B5",-1.01371326222303,-0.948432283228322,-0.948432283228322,0.4
"09.06.19","1","C5",-1.16625752317357,-1.16529690283613,-1.16529690283613,0.4
"09.06.19","1","D5",-0.568224147542811,-0.544921880304947,-0.528072717159076,0.4
"09.06.19","1","A6",-0.148823631679604,-0.689025142514249,-0.689025142514249,0.4
"09.06.19","1","B6",-0.79298258249905,-1.0570455355073,-1.0570455355073,0.4
"09.06.19","1","C6",-1.02892286339615,-0.975010537849247,-0.975010537849247,0.4
"09.06.19","1","D6",-1.0239697615817,-1.1853506116525,-1.1853506116525,0.4
"09.19.19","1","A1",-0.85118443997317,-0.532088963667918,-0.821519344387273,0.4
"09.19.19","1","B1",-0.253229759132724,-0.237008037334719,-0.237008037334719,0.4
"09.19.19","1","C1",-0.245419641134478,-0.122267381833745,-0.122267381833745,0.4
"09.19.19","1","D1",-0.343720273313735,-0.369284271284265,-0.369284271284265,0.4
"09.19.19","1","A2",-0.564898154477099,-0.524438345721367,-0.524438345721367,0.4
"09.19.19","1","B2",-1.24758466946755,-1.53767600820232,-1.53767600820232,0.4
"09.19.19","1","C2",-0.239353908886389,-0.373176912639595,-0.0645753483650673,0.4
